word,ipa,source
axiom,ˈæksiːəm,cmu_dict
bacteria,bækˈtɪriːə,cmu_dict
bail,ˈbeɪl,cmu_dict
banquet,ˈbæŋkwət,cmu_dict
baseline,ˈbeɪˌslaɪn,cmu_dict
benchmark,ˈbɛntʃˌmɑːrk,cmu_dict
beneficiary,ˌbɛnəˈfɪʃiːˌɛri,cmu_dict
beta,ˈbeɪtə,cmu_dict
beta,ˈbeɪtə,cmu_dict
beverage,"ˈbɛvɝɪdʒ, ˈbɛvrɪdʒ",cmu_dict
bias,ˈbaɪəs,cmu_dict
bidder,ˈbɪdɝ,cmu_dict
bilingual,baɪˈlɪŋgwəl,cmu_dict
biodiversity,ˌbaɪoʊdaɪˈvɝːsəti,cmu_dict
biologist,baɪˈɑːlədʒɪst,cmu_dict
boardroom,ˈbɔrˌdruːm,cmu_dict
bondholder,ˈbɑːndˌhoʊldɝ,cmu_dict
borrower,ˈbɑːroʊɝ,cmu_dict
boundary,"ˈbaʊndɝi, ˈbaʊndri",cmu_dict
boycott,ˈbɔɪˌkɑːt,cmu_dict
breach,ˈbriːtʃ,cmu_dict
breach,ˈbriːtʃ,cmu_dict
bribe,ˈbraɪb,cmu_dict
briefcase,ˈbriːfˌkeɪs,cmu_dict
broker,ˈbroʊkɝ,cmu_dict
brokerage,"ˈbroʊkɝɪdʒ, ˈbroʊkrɪdʒ",cmu_dict
buffer,ˈbʌfɝ,cmu_dict
buffet,"ˈbʌfət, bəˈfeɪ",cmu_dict
bulk,ˈbʌlk,cmu_dict
bulk,ˈbʌlk,cmu_dict
bully,ˈbʊli,cmu_dict
bundle,ˈbʌndəl,cmu_dict
bureaucrat,"ˈbjʊrəˌkræt, ˈbjʊroʊˌkræt",cmu_dict
burst,ˈbɝːst,cmu_dict
businessperson,ˈbɪznəˈspɝːsən,cmu_dict
bust,ˈbʌst,cmu_dict
bust,ˈbʌst,cmu_dict
bust,ˈbʌst,cmu_dict
buyout,ˈbaɪˌaʊt,cmu_dict
calcium,ˈkælsiːəm,cmu_dict
calculus,ˈkælkjələs,cmu_dict
cancellation,ˌkænsəˈleɪʃən,cmu_dict
capillary,ˈkæpəˌlɛri,cmu_dict
capita,ˈkæpɪtə,cmu_dict
capitalism,ˈkæpɪtəˌlɪzəm,cmu_dict
capitalist,ˈkæpətəlɪst,cmu_dict
capitalization,ˌkæpɪtəlɪˈzeɪʃən,cmu_dict
capitalization,ˌkæpɪtəlɪˈzeɪʃən,cmu_dict
cargo,ˈkɑːrˌgoʊ,cmu_dict
carmaker,ˈkɑːrˌmeɪkɝ,cmu_dict
carpenter,ˈkɑːrpəntɝ,cmu_dict
carrier,"ˈkæriːɝ, ˈkɛriːɝ",cmu_dict
carrier,"ˈkæriːɝ, ˈkɛriːɝ",cmu_dict
carrier,"ˈkæriːɝ, ˈkɛriːɝ",cmu_dict
cart,ˈkɑːrt,cmu_dict
cartel,kɑːrˈtɛl,cmu_dict
cartridge,"ˈkɑːrtrədʒ, ˈkɑːrtrɪdʒ",cmu_dict
cashier,kæˈʃɪr,cmu_dict
casino,kəˈsiːnoʊ,cmu_dict
casualty,"ˈkæʒəwəlti, ˈkæʒəlti",cmu_dict
caterer,ˈkeɪtɝɝ,cmu_dict
ceasefire,ˈsiːsˈfaɪɝ,cmu_dict
cellphone,ˈsɛlfoʊn,cmu_dict
census,ˈsɛnsəs,cmu_dict
chamber,ˈtʃeɪmbɝ,cmu_dict
chamber,ˈtʃeɪmbɝ,cmu_dict
characterization,ˌkɛrɪktɝɪˈzeɪʃən,cmu_dict
charter,ˈtʃɑːrtɝ,cmu_dict
charter,ˈtʃɑːrtɝ,cmu_dict
chloride,ˈklɔraɪd,cmu_dict
chromosome,"ˈkroʊməˌsoʊm, ˈkroʊməˌzoʊm",cmu_dict
circa,ˈsɝːkə,cmu_dict
circulation,ˈsɝːkjəˌleɪʃən,cmu_dict
circulation,ˈsɝːkjəˌleɪʃən,cmu_dict
citation,saɪˈteɪʃən,cmu_dict
citation,saɪˈteɪʃən,cmu_dict
civilian,səˈvɪljən,cmu_dict
clarity,"ˈklɛrəti, ˈklɛrɪti",cmu_dict
clash,ˈklæʃ,cmu_dict
clay,ˈkleɪ,cmu_dict
cleric,ˈklɛrɪk,cmu_dict
closet,ˈklɑːzət,cmu_dict
clout,ˈklaʊt,cmu_dict
cluster,ˈklʌstɝ,cmu_dict
coefficient,ˌkoʊəˈfɪʃənt,cmu_dict
collaboration,kəˌlæbɝˈeɪʃən,cmu_dict
collateral,kəˈlætɝəl,cmu_dict
colony,ˈkɑːləni,cmu_dict
combat,"ˈkɑːmbæt, kəmˈbæt",cmu_dict
commentary,ˈkɑːmənˌtɛri,cmu_dict
commentator,ˈkɑːmənˌteɪtɝ,cmu_dict
commissioner,kəˈmɪʃənɝ,cmu_dict
commodity,kəˈmɑːdəti,cmu_dict
communism,ˈkɑːmjəˌnɪzəm,cmu_dict
communist,ˈkɑːmjənəst,cmu_dict
commute,kəˈmjuːt,cmu_dict
commuter,kəˈmjuːtɝ,cmu_dict
competency,ˈkɑːmpətɪnsi,cmu_dict
competitiveness,kəmˈpɛtɪtɪvnɪs,cmu_dict
compliance,kəmˈplaɪəns,cmu_dict
complication,ˌkɑːmpləˈkeɪʃən,cmu_dict
complication,ˌkɑːmpləˈkeɪʃən,cmu_dict
computation,ˌkɑːmpjəˈteɪʃən,cmu_dict
con,ˈkɑːn,cmu_dict
con,ˈkɑːn,cmu_dict
conditioner,kənˈdɪʃənɝ,cmu_dict
conditioner,kənˈdɪʃənɝ,cmu_dict
conduction,kənˈdʌkʃən,cmu_dict
configuration,kənˌfɪgjɝˈeɪʃən,cmu_dict
confrontation,ˌkɑːnfrənˈteɪʃən,cmu_dict
conglomerate,kənˈglɑːmɝət,cmu_dict
congratulation,kənˌgrætʃəˈleɪʃən,cmu_dict
congressman,ˈkɑːŋgrəsmən,cmu_dict
connector,kəˈnɛktɝ,cmu_dict
connotation,ˌkɑːnəˈteɪʃən,cmu_dict
consistency,kənˈsɪstənsi,cmu_dict
consolidation,kənˌsɑːləˈdeɪʃən,cmu_dict
consortium,"kənˈsɔrʃiːəm, kənˈsɔrʃjəm",cmu_dict
conspiracy,kənˈspɪrəsi,cmu_dict
constituency,kənˈstɪtʃuːənsi,cmu_dict
constituency,kənˈstɪtʃuːənsi,cmu_dict
constituent,kənˈstɪtʃuːənt,cmu_dict
constituent,kənˈstɪtʃuːənt,cmu_dict
constraint,kənˈstreɪnt,cmu_dict
consultancy,kənˈsʌltənsi,cmu_dict
consultation,ˌkɑːnsəlˈteɪʃən,cmu_dict
contingency,kənˈtɪndʒənsi,cmu_dict
contingent,kənˈtɪndʒənt,cmu_dict
continuity,ˌkɑːntəˈnuːəti,cmu_dict
contour,ˈkɑːnˌtʊr,cmu_dict
contour,ˈkɑːnˌtʊr,cmu_dict
contractor,ˈkɑːnˌtræktɝ,cmu_dict
contributor,kənˈtrɪbjətɝ,cmu_dict
controller,kənˈtroʊlɝ,cmu_dict
convergence,kənˈvɝːdʒəns,cmu_dict
convertible,kənˈvɝːtəbəl,cmu_dict
convict,"ˈkɑːnvɪkt, kənˈvɪkt",cmu_dict
conviction,kənˈvɪkʃən,cmu_dict
conviction,kənˈvɪkʃən,cmu_dict
cooperative,koʊˈɑːpɝˌeɪtɪv,cmu_dict
coordination,koʊˌɔrdəˈneɪʃən,cmu_dict
coordinator,koʊˈɔrdəˌneɪtɝ,cmu_dict
copier,ˈkɑːpiːɝ,cmu_dict
cord,ˈkɔrd,cmu_dict
corpus,ˈkɔrpəs,cmu_dict
corpus,ˈkɔrpəs,cmu_dict
correlation,ˌkɔrəˈleɪʃən,cmu_dict
cortex,ˈkɔrtɛks,cmu_dict
counsel,ˈkaʊnsəl,cmu_dict
counsel,ˈkaʊnsəl,cmu_dict
counterpart,ˈkaʊntɝˌpɑːrt,cmu_dict
counterparty,ˈkaʊntɝˌpɑːrti,cmu_dict
coup,ˈkuː,cmu_dict
coupon,"ˈkuːˌpɔn, ˈkjuːˌpɔn",cmu_dict
courier,ˈkɝːiːɝ,cmu_dict
covariance,ˈcovariansə,generated
covenant,ˈkʌvənənt,cmu_dict
coverage,"ˈkʌvɝədʒ, ˈkʌvɝɪdʒ, ˈkʌvrɪdʒ",cmu_dict
coverage,"ˈkʌvɝədʒ, ˈkʌvɝɪdʒ, ˈkʌvrɪdʒ",cmu_dict
coworker,ˈkoʊˈwɝːkɝ,cmu_dict
credential,"krɪˈdɛnʃəl, krəˈdɛnʃəl",cmu_dict
credibility,ˌkrɛdəˈbɪlɪti,cmu_dict
creditor,"ˈkrɛdətɝ, ˈkrɛdɪtɝ",cmu_dict
criteria,kraɪˈtɪriːə,cmu_dict
critique,"krəˈtiːk, krɪˈtiːk",cmu_dict
crunch,ˈkrʌntʃ,cmu_dict
crunch,ˈkrʌntʃ,cmu_dict
crystal,ˈkrɪstəl,cmu_dict
crystal,ˈkrɪstəl,cmu_dict
cue,ˈkjuː,cmu_dict
cue,ˈkjuː,cmu_dict
curb,ˈkɝːb,cmu_dict
cylinder,"ˈsɪləndɝ, ˈsɪlɪndɝ",cmu_dict
dare,ˈdɛr,cmu_dict
debenture,dəˈbɛntʃɝ,cmu_dict
debtor,ˈdɛtɝ,cmu_dict
decimal,ˈdɛsəməl,cmu_dict
decree,dɪˈkriː,cmu_dict
deductible,dɪˈdʌktəbəl,cmu_dict
default,dɪˈfɔlt,cmu_dict
default,dɪˈfɔlt,cmu_dict
defect,"ˈdiːfɛkt, dɪˈfɛkt",cmu_dict
defendant,dɪˈfɛndənt,cmu_dict
defensive,dɪˈfɛnsɪv,cmu_dict
deflation,dɪˈfleɪʃən,cmu_dict
deflection,dɪˈflɛkʃən,cmu_dict
delegation,ˌdɛləˈgeɪʃən,cmu_dict
delegation,ˌdɛləˈgeɪʃən,cmu_dict
deliverable,"dɪˈlɪvɝəbəl, dɪˈlɪvrəbəl",cmu_dict
delta,ˈdɛltə,cmu_dict
delta,ˈdɛltə,cmu_dict
demise,dɪˈmaɪz,cmu_dict
demographic,ˌdɛməˈgræfɪk,cmu_dict
demonstrator,ˈdɛmənˌstreɪtɝ,cmu_dict
demonstrator,ˈdɛmənˌstreɪtɝ,cmu_dict
denominator,dɪˈnɑːməˌneɪtɝ,cmu_dict
density,"ˈdɛnsəti, ˈdɛnsɪti",cmu_dict
dent,ˈdɛnt,cmu_dict
dependence,dɪˈpɛndəns,cmu_dict
dependency,dɪˈpɛndənsi,cmu_dict
dependency,dɪˈpɛndənsi,cmu_dict
deployment,dɪˈplɔɪmənt,cmu_dict
depositor,dəˈpɑːzɪtɝ,cmu_dict
depreciation,dɪˌpriːʃiːˈeɪʃən,cmu_dict
deregulation,diːˌrɛgjəˈleɪʃən,cmu_dict
derivative,"dɝˈɪvətɪv, dɝˈɪvɪtɪv",cmu_dict
derivative,"dɝˈɪvətɪv, dɝˈɪvɪtɪv",cmu_dict
descendant,dɪˈsɛndənt,cmu_dict
descriptor,ˈdescriptor,generated
detection,dɪˈtɛkʃən,cmu_dict
determinant,dɪˈtɝːmənənt,cmu_dict
determinant,dɪˈtɝːmənənt,cmu_dict
devaluation,"dɪˌvæljuːˈeɪʃən, ˌdiːvæljuːˈeɪʃən",cmu_dict
developer,dɪˈvɛləpɝ,cmu_dict
deviation,ˌdiːviːˈeɪʃən,cmu_dict
diagnosis,ˌdaɪəgˈnoʊsəs,cmu_dict
dialect,ˈdaɪəˌlɛkt,cmu_dict
dictatorship,dɪkˈteɪtɝˌʃɪp,cmu_dict
differentiation,"dɪfɝˌɛnʃiːˈeɪʃən, ˌdɪfɝˌɛntʃiːˈeɪʃən",cmu_dict
differentiation,"dɪfɝˌɛnʃiːˈeɪʃən, ˌdɪfɝˌɛntʃiːˈeɪʃən",cmu_dict
diffusion,dɪˈfjuːʒən,cmu_dict
digit,"ˈdɪdʒət, ˈdɪdʒɪt",cmu_dict
digit,"ˈdɪdʒət, ˈdɪdʒɪt",cmu_dict
diner,ˈdaɪnɝ,cmu_dict
diner,ˈdaɪnɝ,cmu_dict
dip,ˈdɪp,cmu_dict
dip,ˈdɪp,cmu_dict
dip,ˈdɪp,cmu_dict
diplomacy,dɪˈploʊməsi,cmu_dict
diplomacy,dɪˈploʊməsi,cmu_dict
directive,"dɝˈɛktɪv, diːˈrɛktɪv, daɪˈrɛktɪv, dɪˈrɛktɪv",cmu_dict
directory,"dɝˈɛktɝi, daɪˈrɛktɝi, diːˈrɛktɝi, dɪˈrɛktɝi",cmu_dict
directory,"dɝˈɛktɝi, daɪˈrɛktɝi, diːˈrɛktɝi, dɪˈrɛktɝi",cmu_dict
disclosure,dɪsˈkloʊʒɝ,cmu_dict
discourse,ˈdɪskɔrs,cmu_dict
discretion,dɪˈskrɛʃən,cmu_dict
discretion,dɪˈskrɛʃən,cmu_dict
dismissal,dɪˈsmɪsəl,cmu_dict
dismissal,dɪˈsmɪsəl,cmu_dict
dispatch,dɪˈspætʃ,cmu_dict
dispatch,dɪˈspætʃ,cmu_dict
displacement,dɪˈspleɪsmənt,cmu_dict
disruption,dɪsˈrʌpʃən,cmu_dict
dissection,"daɪˈsɛkʃən, ˈdaɪsɛkʃən",cmu_dict
dissection,"daɪˈsɛkʃən, ˈdaɪsɛkʃən",cmu_dict
dissent,dɪˈsɛnt,cmu_dict
dissertation,ˌdɪsɝˈteɪʃən,cmu_dict
dissolution,ˌdɪsəˈluːʃən,cmu_dict
distractor,ˈdistractor,generated
distractor,ˈdistractor,generated
distress,dɪˈstrɛs,cmu_dict
distress,dɪˈstrɛs,cmu_dict
diversification,"daɪˌvɝːsəfəˈkeɪʃən, dɪˌvɝːsəfəˈkeɪʃən",cmu_dict
diversity,"dɪˈvɝːsɪti, daɪˈvɝːsɪti",cmu_dict
dividend,ˈdɪvɪˌdɛnd,cmu_dict
dividend,ˈdɪvɪˌdɛnd,cmu_dict
doctrine,"ˈdɑːktrən, ˈdɔktɝɪn",cmu_dict
documentation,"ˌdɑːkjəmɛnˈteɪʃən, ˌdɑːkjuːmɛnˈteɪʃən",cmu_dict
domain,doʊˈmeɪn,cmu_dict
domain,doʊˈmeɪn,cmu_dict
dominance,ˈdɑːmənəns,cmu_dict
domination,ˌdɑːməˈneɪʃən,cmu_dict
donor,ˈdoʊnɝ,cmu_dict
downgrade,ˈdaʊnˈgreɪd,cmu_dict
downside,ˈdaʊnˌsaɪd,cmu_dict
downtown,ˈdaʊnˈtaʊn,cmu_dict
downturn,ˈdaʊnˌtɝːn,cmu_dict
drawback,ˈdrɔˌbæk,cmu_dict
duration,ˈdʊˈreɪʃən,cmu_dict
e-book,ˈe-buk,generated
echo,ˈɛkoʊ,cmu_dict
echo,ˈɛkoʊ,cmu_dict
elasticity,ˌiːˌlæˈstɪsəti,cmu_dict
electorate,"ɪˈlɛktɝət, ɪˈlɛktrɪt",cmu_dict
elevation,ˌɛləˈveɪʃən,cmu_dict
elevation,ˌɛləˈveɪʃən,cmu_dict
elimination,ɪˌlɪməˈneɪʃən,cmu_dict
emission,ɪˈmɪʃən,cmu_dict
empowerment,ɪmˈpaʊɝmənt,cmu_dict
endorsement,ɛnˈdɔrsmənt,cmu_dict
endorsement,ɛnˈdɔrsmənt,cmu_dict
endowment,ɛnˈdaʊmənt,cmu_dict
endowment,ɛnˈdaʊmənt,cmu_dict
enforcement,ɛnˈfɔrsmənt,cmu_dict
enhancement,ɛnˈhænsmənt,cmu_dict
enlargement,ˌɛnˈlɑːrdʒmənt,cmu_dict
entity,"ˈɛntəti, ˈɛntɪti",cmu_dict
entrant,ˈɛntrənt,cmu_dict
enzyme,ˈɛnˌzaɪm,cmu_dict
epidemiology,ˌɛpəˌdɛmiːˈɑːlədʒi,cmu_dict
equilibrium,ˌiːkwəˈlɪbriːəm,cmu_dict
equivalence,ɪˈkwɪvələns,cmu_dict
escort,"ɛˈskɔrt, ˈɛskɔrt",cmu_dict
estimation,ˌɛstəˈmeɪʃən,cmu_dict
estimation,ˌɛstəˈmeɪʃən,cmu_dict
ethanol,ˈɛθəˌnɔl,cmu_dict
ethics,ˈɛθɪks,cmu_dict
exemption,ɪgˈzɛmpʃən,cmu_dict
expectancy,ɪkˈspɛktənsi,cmu_dict
expenditure,"ɪkˈspɛndətʃɝ, ɪkˈspɛndɪtʃɝ",cmu_dict
expertise,ˌɛkspɝˈtiːz,cmu_dict
expiration,ˌɛkspɝˈeɪʃən,cmu_dict
expiration,ˌɛkspɝˈeɪʃən,cmu_dict
exporter,ɪkˈspɔrtɝ,cmu_dict
exposure,ɪkˈspoʊʒɝ,cmu_dict
exposure,ɪkˈspoʊʒɝ,cmu_dict
exposure,ɪkˈspoʊʒɝ,cmu_dict
externality,ˈexternality,generated
extremist,ɪkˈstriːmɪst,cmu_dict
facet,ˈfæsət,cmu_dict
faction,ˈfækʃən,cmu_dict
fairness,ˈfɛrnəs,cmu_dict
fatigue,fəˈtiːg,cmu_dict
fertility,"fɝˈtɪləti, fɝˈtɪlɪti",cmu_dict
fiduciary,fəˈduːʃiːˌɛri,cmu_dict
fin,ˈfɪn,cmu_dict
flotation,floʊˈteɪʃən,cmu_dict
fluctuation,ˌfləktʃuːˈeɪʃən,cmu_dict
fluid,"ˈfluːəd, ˈfluːɪd",cmu_dict
flux,ˈflʌks,cmu_dict
flyer,ˈflaɪɝ,cmu_dict
forecaster,ˈfɔrˌkæstɝ,cmu_dict
formulation,"ˌfɔrmjəˈleɪʃən, ˌfɔrmjuːˈleɪʃən",cmu_dict
forum,ˈfɔrəm,cmu_dict
fossil,ˈfɑːsəl,cmu_dict
founder,ˈfaʊndɝ,cmu_dict
fraction,ˈfrækʃən,cmu_dict
fraction,ˈfrækʃən,cmu_dict
fracture,"ˈfræktʃɝ, ˈfrækʃɝ",cmu_dict
framework,ˈfreɪmˌwɝːk,cmu_dict
franc,ˈfræŋk,cmu_dict
franchise,ˈfrænˌtʃaɪz,cmu_dict
franchise,ˈfrænˌtʃaɪz,cmu_dict
freight,ˈfreɪt,cmu_dict
friction,ˈfrɪkʃən,cmu_dict
friction,ˈfrɪkʃən,cmu_dict
fringe,ˈfrɪndʒ,cmu_dict
fringe,ˈfrɪndʒ,cmu_dict
fungus,ˈfʌŋgəs,cmu_dict
fusion,ˈfjuːʒən,cmu_dict
gamble,ˈgæmbəl,cmu_dict
gasoline,ˈgæsəˌliːn,cmu_dict
gauge,ˈgeɪdʒ,cmu_dict
gay,ˈgeɪ,cmu_dict
generator,ˈdʒɛnɝˌeɪtɝ,cmu_dict
genocide,ˈdʒɛnəˌsaɪd,cmu_dict
globalization,ˌgloʊbəlɪˈzeɪʃən,cmu_dict
goodness,"ˈgʊdnəs, ˈgʊdnɪs",cmu_dict
governance,ˈgʌvɝnəns,cmu_dict
gradient,ˈgreɪdiːənt,cmu_dict
graphic,ˈgræfɪk,cmu_dict
gravity,"ˈgrævəti, ˈgrævɪti",cmu_dict
gravity,"ˈgrævəti, ˈgrævɪti",cmu_dict
grid,ˈgrɪd,cmu_dict
grid,ˈgrɪd,cmu_dict
grocery,"ˈgroʊsɝi, ˈgroʊsri",cmu_dict
grocery,"ˈgroʊsɝi, ˈgroʊsri",cmu_dict
gut,ˈgʌt,cmu_dict
gut,ˈgʌt,cmu_dict
halt,ˈhɔlt,cmu_dict
handful,ˈhændˌfʊl,cmu_dict
handset,ˈhændˌsɛt,cmu_dict
haul,ˈhɔl,cmu_dict
hawk,ˈhɔk,cmu_dict
headquarter,"ˈhɛdˌkwɔrtɝ, ˈhɛdˌkɔrtɝ",cmu_dict
healthcare,ˈhɛlθˌkɛr,cmu_dict
heir,ˈɛr,cmu_dict
helix,ˈhiːlɪks,cmu_dict
hepatitis,ˌhɛpəˈtaɪtəs,cmu_dict
herbicide,"ˈhɝːbɪˌsaɪd, ˈɝːbɪˌsaɪd",cmu_dict
hierarchy,"ˈhaɪɝˌɑːrki, ˈhaɪˌrɑːrki",cmu_dict
histogram,ˈhɪstəˌgræm,cmu_dict
homeowner,ˈhoʊˌmoʊnɝ,cmu_dict
hormone,ˈhɔrˌmoʊn,cmu_dict
hostility,hɑːˈstɪləti,cmu_dict
hub,ˈhʌb,cmu_dict
hurdle,ˈhɝːdəl,cmu_dict
hybrid,"ˈhaɪbrəd, ˈhaɪbrɪd",cmu_dict
hydrogen,ˈhaɪdrədʒən,cmu_dict
hypothesis,haɪˈpɑːθəsəs,cmu_dict
illusion,ˌɪˈluːʒən,cmu_dict
imbalance,ɪmˈbæləns,cmu_dict
impairment,ˌɪmˈpɛrmənt,cmu_dict
implementation,ˌɪmpləmɛnˈteɪʃən,cmu_dict
importer,ˌɪmˈpɔrtɝ,cmu_dict
inability,ˌɪnəˈbɪlɪti,cmu_dict
incidence,"ˈɪnsədəns, ˈɪnsɪdəns",cmu_dict
incline,"ˌɪnˈklaɪn, ˈɪnklaɪn",cmu_dict
inclusion,ˌɪnˈkluːʒən,cmu_dict
inconvenience,ˌɪnkənˈviːnjəns,cmu_dict
incorporation,ˌɪnˌkɔrpɝˈeɪʃən,cmu_dict
incumbent,ˌɪnˈkʌmbənt,cmu_dict
indication,ˌɪndəˈkeɪʃən,cmu_dict
indicator,ˈɪndəˌkeɪtɝ,cmu_dict
indifference,"ˌɪnˈdɪfɝəns, ˌɪnˈdɪfrəns",cmu_dict
induction,ˌɪnˈdʌkʃən,cmu_dict
induction,ˌɪnˈdʌkʃən,cmu_dict
industrialization,ˌɪnˌdəstriːəlɪˈzeɪʃən,cmu_dict
inefficiency,ˌɪnɪˈfɪʃənsi,cmu_dict
inequality,"ˌɪnɪˈkwɑːləti, ˌɪnəˈkwɑːləti, ˈɪniːˈkwɑːləti",cmu_dict
inexperience,ˌɪnɪkˈspɪriːəns,cmu_dict
infinity,ˌɪnˈfɪnɪti,cmu_dict
inflow,ˈɪnˌfloʊ,cmu_dict
info,ˈɪnfoʊ,cmu_dict
infrastructure,ˌɪnfrəˈstrʌktʃɝ,cmu_dict
inhibition,"ˌɪnhəˈbɪʃən, ˌɪnəˈbɪʃən",cmu_dict
initiation,ˌɪˌnɪʃiːˈeɪʃən,cmu_dict
insider,ˌɪnˈsaɪdɝ,cmu_dict
instability,ˌɪnstəˈbɪlɪti,cmu_dict
installation,ˌɪnstəˈleɪʃən,cmu_dict
installation,ˌɪnstəˈleɪʃən,cmu_dict
installment,ˌɪnˈstɔlmənt,cmu_dict
instant,ˈɪnstənt,cmu_dict
insurer,ˌɪnˈʃʊrɝ,cmu_dict
insurgency,ˌɪnˈsɝːdʒənsi,cmu_dict
insurgent,ˌɪnˈsɝːdʒənt,cmu_dict
intangible,ˌɪnˈtændʒəbəl,cmu_dict
integration,"ˌɪntəˈgreɪʃən, ˌɪnəˈgreɪʃən",cmu_dict
integrity,ˌɪnˈtɛgrəti,cmu_dict
integrity,ˌɪnˈtɛgrəti,cmu_dict
intensity,ˌɪnˈtɛnsɪti,cmu_dict
intent,ˌɪnˈtɛnt,cmu_dict
intercept,"ˌɪntɝˈsɛpt, ˌɪnɝˈsɛpt",cmu_dict
intercept,"ˌɪntɝˈsɛpt, ˌɪnɝˈsɛpt",cmu_dict
interface,"ˈɪntɝˌfeɪs, ˈɪnɝˌfeɪs",cmu_dict
interference,"ˌɪntɝˈfɪrəns, ˌɪnɝˈfɪrəns",cmu_dict
interim,"ˈɪntɝəm, ˈɪntrəm, ˈɪnɝəm",cmu_dict
intermediary,"ˌɪnɝˈmiːdiːɛri, ˌɪntɝˈmiːdiːɛri",cmu_dict
intern,ˈɪntɝn,cmu_dict
internship,ˈɪntɝnˌʃɪp,cmu_dict
